Epoch 1, ResNet50 Train Loss: 0.8739, Train Acc: 0.7199, Val Loss: 0.3444, Val Acc: 0.9031, EfficientNet-B3 Train Loss: 1.7729, Train Acc: 0.4285, Val Loss: 1.2541, Val Acc: 0.7453, ViT Train Loss: 0.8038, Train Acc: 0.7414, Val Loss: 0.3110, Val Acc: 0.9109
Epoch 2, ResNet50 Train Loss: 0.2514, Train Acc: 0.9266, Val Loss: 0.2283, Val Acc: 0.9344, EfficientNet-B3 Train Loss: 0.9122, Train Acc: 0.7973, Val Loss: 0.5034, Val Acc: 0.9109, ViT Train Loss: 0.1491, Train Acc: 0.9574, Val Loss: 0.1489, Val Acc: 0.9469
Epoch 3, ResNet50 Train Loss: 0.1426, Train Acc: 0.9582, Val Loss: 0.1610, Val Acc: 0.9563, EfficientNet-B3 Train Loss: 0.3755, Train Acc: 0.9129, Val Loss: 0.2586, Val Acc: 0.9375, ViT Train Loss: 0.0771, Train Acc: 0.9785, Val Loss: 0.1698, Val Acc: 0.9422
Epoch 4, ResNet50 Train Loss: 0.1136, Train Acc: 0.9695, Val Loss: 0.1724, Val Acc: 0.9563, EfficientNet-B3 Train Loss: 0.1910, Train Acc: 0.9586, Val Loss: 0.1547, Val Acc: 0.9531, ViT Train Loss: 0.0611, Train Acc: 0.9785, Val Loss: 0.1477, Val Acc: 0.9563
Epoch 5, ResNet50 Train Loss: 0.1003, Train Acc: 0.9703, Val Loss: 0.1518, Val Acc: 0.9563, EfficientNet-B3 Train Loss: 0.1338, Train Acc: 0.9707, Val Loss: 0.1432, Val Acc: 0.9594, ViT Train Loss: 0.0725, Train Acc: 0.9777, Val Loss: 0.1328, Val Acc: 0.9609
Epoch 6, ResNet50 Train Loss: 0.0912, Train Acc: 0.9738, Val Loss: 0.2357, Val Acc: 0.9406, EfficientNet-B3 Train Loss: 0.0855, Train Acc: 0.9820, Val Loss: 0.1186, Val Acc: 0.9656, ViT Train Loss: 0.0507, Train Acc: 0.9828, Val Loss: 0.1379, Val Acc: 0.9531
Epoch 7, ResNet50 Train Loss: 0.0714, Train Acc: 0.9785, Val Loss: 0.1676, Val Acc: 0.9625, EfficientNet-B3 Train Loss: 0.0700, Train Acc: 0.9805, Val Loss: 0.1237, Val Acc: 0.9703, ViT Train Loss: 0.0416, Train Acc: 0.9867, Val Loss: 0.1528, Val Acc: 0.9578
Epoch 8, ResNet50 Train Loss: 0.0512, Train Acc: 0.9848, Val Loss: 0.2051, Val Acc: 0.9469, EfficientNet-B3 Train Loss: 0.0608, Train Acc: 0.9867, Val Loss: 0.1177, Val Acc: 0.9703, ViT Train Loss: 0.0301, Train Acc: 0.9898, Val Loss: 0.1542, Val Acc: 0.9500
Epoch 9, ResNet50 Train Loss: 0.0596, Train Acc: 0.9848, Val Loss: 0.0991, Val Acc: 0.9703, EfficientNet-B3 Train Loss: 0.0588, Train Acc: 0.9844, Val Loss: 0.1174, Val Acc: 0.9688, ViT Train Loss: 0.0267, Train Acc: 0.9898, Val Loss: 0.1247, Val Acc: 0.9641
Epoch 10, ResNet50 Train Loss: 0.0364, Train Acc: 0.9902, Val Loss: 0.1582, Val Acc: 0.9656, EfficientNet-B3 Train Loss: 0.0524, Train Acc: 0.9871, Val Loss: 0.1042, Val Acc: 0.9672, ViT Train Loss: 0.0235, Train Acc: 0.9918, Val Loss: 0.1647, Val Acc: 0.9500
Epoch 11, ResNet50 Train Loss: 0.0361, Train Acc: 0.9887, Val Loss: 0.1505, Val Acc: 0.9688, EfficientNet-B3 Train Loss: 0.0398, Train Acc: 0.9895, Val Loss: 0.1357, Val Acc: 0.9641, ViT Train Loss: 0.0269, Train Acc: 0.9906, Val Loss: 0.1393, Val Acc: 0.9672
